OMNIVIZ SALES DATASET: EXPLORATORY DATA ANALYSIS (EDA) RESULTS

1. OVERALL BUSINESS PERFORMANCE (EXECUTIVE METRICS)
Metric,Exact Value
Total Revenue,5284387.699999999
Total Cost (COGS),3846749.39
Total Gross Profit,1437638.31
Overall Weighted Gross Margin %,0.2720539051288762
Average Order Profit Margin %,0.23648594
Total Orders,10000
Total Quantity Sold,27313
Average Order Value (AOV),528.43877

"2. TIME ANALYSIS: YEARLY, QUARTERLY, AND SEASONAL PERFORMANCE"
Year,Orders,Revenue,Cost,Profit,Avg_Discount,AOV,Margin_%
2021,896,506060.36,357529.31,148531.05,0.1728794642857143,564.7995089285714,0.2935046127699075
2022,2687,1321845.01,965740.4400000001,356104.57,0.1779121697059918,491.9408299218459,0.2693996401287622
2023,4375,2308640.02,1683363.9,625276.12,0.1770857142857143,527.6891474285715,0.2708417573043718
2024,2042,1147842.31,840115.74,307726.57,0.1761998041136141,562.1167042115574,0.2680913286773686

Quarter,Orders,Revenue,Cost,Profit,Avg_Discount,AOV,Margin_%
Q1,2338,1328742.7,966206.04,362536.66,0.1776518391787853,568.3245081266039,0.2728418827813692
Q2,2542,1294533.24,962676.63,331856.61,0.1776553894571204,509.2577655389457,0.2563523281951416
Q3,2594,1315053.75,939024.77,376028.98,0.1752120277563608,506.9598111025443,0.2859419092185395
Q4,2526,1346058.01,978841.95,367216.06,0.1765835312747427,532.8812391132225,0.2728084950811295

Season,Orders,Revenue,Cost,Profit,Avg_Discount,AOV,Margin_%
Fall,2525,1358993.04,990244.44,368748.6,0.1772475247524752,538.2150653465346,0.2713395794874711
Spring,2510,1381670.05,1025703.15,355966.9,0.1783466135458167,550.4661553784861,0.257635243667618
Summer,2600,1290846.11,924120.42,366725.69,0.1750384615384616,496.4792730769231,0.2840971415252589
Winter,2365,1252878.5,906681.38,346197.12,0.1764059196617336,529.7583509513742,0.2763213831189537

Month,Orders,Revenue,Cost,Profit,Margin_%,Rev_Share_%
1,788,485925.07,351794.25,134130.82,0.2760318993214324,0.09195484843021644
2,719,356372.32,255838.13,100534.19,0.2821043733138421,0.06743871574752172
3,831,486445.31,358573.66,127871.65,0.2628695299786116,0.09205329692217701
4,802,446457.73,336877.15,109580.58,0.2454444679454873,0.08448617992203715
5,877,448767.01,330252.34,118514.67,0.2640895327845066,0.08492318040934053
6,863,399308.5,295547.14,103761.36,0.2598526202172005,0.0755638160311364
7,831,411466.54,286068.57,125397.97,0.3047586080753978,0.0778645631924395
8,906,480071.07,342504.71,137566.36,0.2865541554086981,0.09084705688797211
9,857,423516.14,310451.49,113064.65,0.266966567082898,0.08014478952783878
10,869,501270.79,367646.83,133623.96,0.2665704099774096,0.09485882158116446
11,799,434206.11,312146.12,122059.99,0.2811107149091016,0.08216772399193951
12,858,410581.11,299049,111532.11,0.2716445235388448,0.07769700735621651

"3. PRODUCT ANALYSIS: CATEGORIES, SUB-CATEGORIES, TOP & BOTTOM PRODUCTS"
Category,Orders,Units,Revenue,Cost,Profit,Rev_Share_%,Profit_Share_%,Margin_%
Electronics,1977,5287,3382028.46,2456580.31,925448.15,0.6400038475602388,0.6437280806741996,0.2736370083650922
Home & Kitchen,2008,5535,892842.02,660420.57,232421.45,0.1689584623020753,0.1616689318748051,0.2603164331356179
Clothing,1977,5375,407471.79,291766.5,115705.29,0.07710860995305095,0.08048289280771878,0.2839590195924974
Books & Media,2043,5667,386644.46,281606.77,105037.69,0.07316731510823857,0.0730626676190898,0.2716648002663739
Beauty & Health,1995,5449,215400.97,156375.24,59025.73,0.04076176507639665,0.04105742702418663,0.2740272246684869

Category,Sub_Category,Orders,Units,Revenue,Cost,Profit,Rev_Share_%,Profit_Share_%,Margin_%
Electronics,Laptops,486,1326,1641700.18,1194926.57,446773.61,0.3106698965331405,0.3107691321887492,0.2721408058808887
Electronics,Smartphones,514,1398,843506.83,615634.75,227872.08,0.1596224345916179,0.1585044572163634,0.2701484705227579
Electronics,Tablets,498,1302,688981.62,493589.58,195392.04,0.1303805964123337,0.1359118205468523,0.2835954317620258
Home & Kitchen,Furniture,654,1796,498779.83,373617.2,125162.63,0.09438744057329482,0.08706127899443637,0.2509376331436658
Books & Media,Software,1021,2848,329315.22,239470.44,89844.78,0.06231851989209649,0.06249470355307935,0.2728230417045407
Home & Kitchen,Appliances,683,1945,272102.17,198080.17,74022,0.05149171208615144,0.05148861120708449,0.2720375217882313
Electronics,Headphones,479,1261,207839.83,152429.41,55410.42,0.03933092002314668,0.03854267072223472,0.2666015460078081
Clothing,Footwear,642,1730,180627.15,129770.54,50856.61,0.03418128272458132,0.03537510766529309,0.2815557351151253
Clothing,Women's Wear,688,1862,131973.9,93644.71,38329.19,0.0249743030777246,0.02666121912124059,0.2904300774622861
Home & Kitchen,Kitchen Tools,671,1794,121960.02,88723.2,33236.82,0.02307930964262899,0.02311904167328429,0.2725222577037951
Beauty & Health,Skincare,1044,2967,119431.15,86081.25,33349.9,0.02260075467210705,0.02319769845309701,0.279239545127046
Beauty & Health,Supplements,951,2482,95969.82,70293.99,25675.83,0.01816101040428961,0.01785972857108962,0.2675406705983193
Clothing,Men's Wear,647,1783,94870.74,68351.25,26519.49,0.01795302415074504,0.01844656602118512,0.2795328675627491
Books & Media,Books,1022,2819,57329.24,42136.33,15192.91,0.01084879521614207,0.01056796406601045,0.2650115368701905

Category,Sub_Category,Product_Name,Orders,Units,Revenue,Cost,Profit,Loss_Orders,Margin_%
Electronics,Laptops,Lenovo ThinkPad X1,106,308,379258.55,278674.46,100584.09,11,0.2652124520330524
Electronics,Laptops,MacBook Air M2,88,278,365336.21,267394.73,97941.48,10,0.2680858817690149
Electronics,Laptops,Dell XPS 15,108,279,341123.75,252071.64,89052.11,21,0.2610551449437338
Electronics,Laptops,HP Spectre x360,92,238,283432.55,194402.86,89029.69,10,0.3141124405083326
Electronics,Laptops,ASUS ZenBook,92,223,272549.12,202382.88,70166.24,14,0.2574443828694072
Electronics,Smartphones,iPhone 14,110,315,194633.03,138587.12,56045.91,18,0.2879568282937383
Electronics,Smartphones,OnePlus 11,120,334,192757.39,144394.06,48363.33,24,0.2509025983387719
Electronics,Smartphones,Samsung Galaxy S23,106,272,167161.36,123670.95,43490.41,17,0.26017023312086
Electronics,Tablets,Lenovo Tab P12,98,284,158693.27,110822.53,47870.74,11,0.3016557664984785
Electronics,Smartphones,Xiaomi 13,91,239,157315.74,107091.98,50223.76,10,0.3192545132483247

Category,Sub_Category,Product_Name,Orders,Units,Revenue,Cost,Profit,Loss_Orders,Margin_%
Electronics,Laptops,Lenovo ThinkPad X1,106,308,379258.55,278674.46,100584.09,11,0.2652124520330524
Electronics,Laptops,MacBook Air M2,88,278,365336.21,267394.73,97941.48,10,0.2680858817690149
Electronics,Laptops,Dell XPS 15,108,279,341123.75,252071.64,89052.11,21,0.2610551449437338
Electronics,Laptops,HP Spectre x360,92,238,283432.55,194402.86,89029.69,10,0.3141124405083326
Electronics,Laptops,ASUS ZenBook,92,223,272549.12,202382.88,70166.24,14,0.2574443828694072
Electronics,Smartphones,iPhone 14,110,315,194633.03,138587.12,56045.91,18,0.2879568282937383
